"Package","Version"
"abind","1.4-8"
"ade4","1.7-23"
"ape","5.8-1"
"askpass","1.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"bayesm","3.1-7"
"beeswarm","0.4.0"
"BH","1.87.0-1"
"bigD","0.3.1"
"Biobase","2.62.0"
"BiocGenerics","0.48.1"
"BiocManager","1.30.26"
"BiocParallel","1.36.0"
"BiocVersion","3.18.1"
"biomformat","1.30.0"
"Biostrings","2.70.3"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"broom","1.0.8"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cellranger","1.1.0"
"checkmate","2.3.2"
"circlize","0.4.17"
"cli","3.6.5"
"clipr","0.8.0"
"clue","0.3-67"
"colorspace","2.1-1"
"commonmark","2.0.0"
"ComplexHeatmap","2.18.0"
"compositions","2.0-9"
"conflicted","1.2.0"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"curl","6.4.0"
"data.table","1.17.8"
"DBI","1.2.3"
"dbplyr","2.5.0"
"DelayedArray","0.28.0"
"DEoptimR","1.1-4"
"Deriv","4.2.0"
"DESeq2","1.42.1"
"digest","0.6.37"
"doBy","4.7.0"
"doParallel","1.0.17"
"dplyr","1.1.4"
"dtplyr","1.3.1"
"ellipse","0.5.0"
"evaluate","1.0.4"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.0"
"foreach","1.5.2"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.6"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"gargle","1.5.2"
"generics","0.1.4"
"GenomeInfoDb","1.38.8"
"GenomeInfoDbData","1.2.11"
"GenomicRanges","1.54.1"
"GetoptLong","1.1.0"
"ggbeeswarm","0.7.3"
"ggforce","0.5.0"
"ggplot2","3.5.2"
"ggpubr","0.6.1"
"ggrepel","0.9.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggthemes","5.1.0"
"GlobalOptions","0.1.3"
"glue","1.8.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gridExtra","2.3"
"gtable","0.3.6"
"haven","2.5.5"
"highr","0.11"
"Hmisc","5.2-3"
"hms","1.1.3"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httr","1.4.7"
"ids","1.0.1"
"igraph","2.1.4"
"IRanges","2.36.0"
"isoband","0.2.7"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"knitr","1.50"
"labeling","0.4.3"
"lambda.r","1.2.4"
"lattice","0.22-7"
"lifecycle","1.0.4"
"lme4","1.1-37"
"locfit","1.5-9.12"
"lubridate","1.9.4"
"magick","2.8.7"
"magrittr","2.0.3"
"MatrixGenerics","1.14.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"microbenchmark","1.5.0"
"microbiome","1.24.0"
"mime","0.13"
"minqa","1.2.8"
"mixOmics","6.26.0"
"modelr","0.1.11"
"multtest","2.58.0"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"openssl","2.3.3"
"patchwork","1.3.1"
"pbkrtest","0.5.4"
"pdftools","3.5.0"
"permute","0.9-8"
"phyloseq","1.46.0"
"pillar","1.11.0"
"pixmap","0.4-13"
"pkgconfig","2.0.3"
"plyr","1.8.9"
"png","0.1-9"
"polyclip","1.10-7"
"polynom","1.4-1"
"prettyunits","1.2.0"
"processx","3.8.6"
"progress","1.2.3"
"ps","1.9.1"
"purrr","1.1.0"
"qpdf","1.4.1"
"quantreg","6.1"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.4.0"
"rappdirs","0.3.3"
"rARPACK","0.11-0"
"rbibutils","2.3"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppArmadillo","14.6.0-1"
"RcppEigen","0.3.4.0.2"
"RCurl","1.98-1.17"
"Rdpack","2.6.4"
"readr","2.1.5"
"readxl","1.4.5"
"reformulas","0.4.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"renv","1.1.4"
"reprex","2.1.1"
"reshape2","1.4.4"
"rhdf5","2.46.1"
"rhdf5filters","1.14.1"
"Rhdf5lib","1.24.2"
"rjson","0.2.23"
"rlang","1.1.6"
"rmarkdown","2.29"
"robustbase","0.99-7"
"RSpectra","0.16-2"
"rstatix","0.7.2"
"rstudioapi","0.17.1"
"Rtsne","0.17"
"rvest","1.0.4"
"S4Arrays","1.2.1"
"S4Vectors","0.40.2"
"sass","0.4.10"
"scales","1.4.0"
"selectr","0.4-2"
"shape","1.4.6.1"
"snow","0.4-4"
"sp","2.2-0"
"SparseArray","1.2.4"
"SparseM","1.84-2"
"stringi","1.8.7"
"stringr","1.5.1"
"SummarizedExperiment","1.32.0"
"sys","3.4.3"
"systemfonts","1.2.3"
"tensorA","0.36.2.1"
"textshaping","1.0.1"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"tinytex","0.57"
"tweenr","2.0.3"
"tzdb","0.5.0"
"utf8","1.2.6"
"uuid","1.2-1"
"vctrs","0.6.5"
"vegan","2.7-1"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.7.0"
"withr","3.0.2"
"xfun","0.52"
"xml2","1.3.8"
"XVector","0.42.0"
"yaml","2.3.10"
"zlibbioc","1.48.2"
"base","4.3.3"
