"Package","Version","citation"
"abind","1.4-8","To cite package ‘abind’ in publications use:    Plate T, Heiberger R (2024). _abind: Combine Multidimensional Arrays_. R package version   1.4-8, <https://CRAN.R-project.org/package=abind>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {abind: Combine Multidimensional Arrays},     author = {Tony Plate and Richard Heiberger},     year = {2024},     note = {R package version 1.4-8},     url = {https://CRAN.R-project.org/package=abind},   }"
"ade4","1.7-23","To cite ade4 in publications use:    Dray S, Dufour A (2007). “The ade4 Package: Implementing the Duality Diagram for   Ecologists.” _Journal of Statistical Software_, *22*(4), 1-20. doi:10.18637/jss.v022.i04   <https://doi.org/10.18637/jss.v022.i04>.  Bougeard S, Dray S (2018). “Supervised Multiblock Analysis in R with the ade4 Package.” _Journal of Statistical Software_, *86*(1), 1-17. doi:10.18637/jss.v086.i01 <https://doi.org/10.18637/jss.v086.i01>.  Chessel D, Dufour A, Thioulouse J (2004). “The ade4 Package - I: One-Table Methods.” _R News_, *4*(1), 5-10. <https://cran.r-project.org/doc/Rnews/>.  Dray S, Dufour A, Chessel D (2007). “The ade4 Package - II: Two-Table and K-Table Methods.” _R News_, *7*(2), 47-52. <https://cran.r-project.org/doc/Rnews/>.  Thioulouse J, Dray S, Dufour A, Siberchicot A, Jombart T, Pavoine S (2018). _Multivariate Analysis of Ecological Data with ade4_. Springer. doi:10.1007/978-1-4939-8850-1 <https://doi.org/10.1007/978-1-4939-8850-1>.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"ape","5.8-1","To cite ape in a publication please use:    Paradis E, Schliep K (2019). “ape 5.0: an environment for modern phylogenetics and   evolutionary analyses in R.” _Bioinformatics_, *35*, 526-528.   doi:10.1093/bioinformatics/bty633 <https://doi.org/10.1093/bioinformatics/bty633>.  A BibTeX entry for LaTeX users is    @Article{,     title = {ape 5.0: an environment for modern phylogenetics and evolutionary analyses in {R}},     author = {Emmanuel Paradis and Klaus Schliep},     journal = {Bioinformatics},     year = {2019},     volume = {35},     pages = {526-528},     doi = {10.1093/bioinformatics/bty633},   }  ape is evolving quickly, so you may want to cite its version number (found with 'library(help = ape)' or 'packageVersion(""ape"")')."
"askpass","1.2.1","To cite package ‘askpass’ in publications use:    Ooms J (2024). _askpass: Password Entry Utilities for R, Git, and SSH_. R package version   1.2.1, <https://r-lib.r-universe.dev/askpass>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {askpass: Password Entry Utilities for R, Git, and SSH},     author = {Jeroen Ooms},     year = {2024},     note = {R package version 1.2.1},     url = {https://r-lib.r-universe.dev/askpass},   }"
"backports","1.5.0","To cite package ‘backports’ in publications use:    Lang M, Murdoch D, R Core Team (2024). _backports: Reimplementations of Functions Introduced   Since R-3.0.0_. R package version 1.5.0, <https://github.com/r-lib/backports>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {backports: Reimplementations of Functions Introduced Since R-3.0.0},     author = {Michel Lang and Duncan Murdoch and {R Core Team}},     year = {2024},     note = {R package version 1.5.0},     url = {https://github.com/r-lib/backports},   }"
"base64enc","0.1-3","To cite package ‘base64enc’ in publications use:    Urbanek S (2015). _base64enc: Tools for base64 encoding_. R package version 0.1-3,   <http://www.rforge.net/base64enc>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {base64enc: Tools for base64 encoding},     author = {Simon Urbanek},     year = {2015},     note = {R package version 0.1-3},     url = {http://www.rforge.net/base64enc},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"bayesm","3.1-7","To cite package ‘bayesm’ in publications use:    Rossi P (2025). _bayesm: Bayesian Inference for Marketing/Micro-Econometrics_. R package   version 3.1-7, <https://CRAN.R-project.org/package=bayesm>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {bayesm: Bayesian Inference for Marketing/Micro-Econometrics},     author = {Peter Rossi},     year = {2025},     note = {R package version 3.1-7},     url = {https://CRAN.R-project.org/package=bayesm},   }"
"beeswarm","0.4.0","To cite package ‘beeswarm’ in publications use:    Eklund A, Trimble J (2021). _beeswarm: The Bee Swarm Plot, an Alternative to Stripchart_. R   package version 0.4.0, <https://CRAN.R-project.org/package=beeswarm>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {beeswarm: The Bee Swarm Plot, an Alternative to Stripchart},     author = {Aron Eklund and James Trimble},     year = {2021},     note = {R package version 0.4.0},     url = {https://CRAN.R-project.org/package=beeswarm},   }"
"BH","1.87.0-1","To cite package ‘BH’ in publications use:    Eddelbuettel D, Emerson J, Kane M (2024). _BH: Boost C++ Header Files_. R package version   1.87.0-1, <https://CRAN.R-project.org/package=BH>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {BH: Boost C++ Header Files},     author = {Dirk Eddelbuettel and John W. Emerson and Michael J. Kane},     year = {2024},     note = {R package version 1.87.0-1},     url = {https://CRAN.R-project.org/package=BH},   }"
"bigD","0.3.1","To cite package ‘bigD’ in publications use:    Iannone R (2025). _bigD: Flexibly Format Dates and Times to a Given Locale_. R package   version 0.3.1, <https://CRAN.R-project.org/package=bigD>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {bigD: Flexibly Format Dates and Times to a Given Locale},     author = {Richard Iannone},     year = {2025},     note = {R package version 0.3.1},     url = {https://CRAN.R-project.org/package=bigD},   }"
"Biobase","2.62.0","To cite package ‘Biobase’ in publications use:    Orchestrating high-throughput genomic analysis with Bioconductor. W. Huber, V.J. Carey, R.   Gentleman, ..., M. Morgan Nature Methods, 2015:12, 115.  A BibTeX entry for LaTeX users is    @Article{,     author = {W. Huber and V. J. Carey and R. Gentleman and S. Anders and M. Carlson and B. S. Carvalho and H. C. Bravo and S. Davis and L. Gatto and T. Girke and R. Gottardo and F. Hahne and K. D. Hansen and R. A. Irizarry and M. Lawrence and M. I. Love and J. MacDonald and V. Obenchain and A. K. {Ole's} and H. {Pag`es} and A. Reyes and P. Shannon and G. K. Smyth and D. Tenenbaum and L. Waldron and M. Morgan},     title = {{O}rchestrating high-throughput genomic analysis with {B}ioconductor},     journal = {Nature Methods},     year = {2015},     volume = {12},     number = {2},     pages = {115--121},     url = {http://www.nature.com/nmeth/journal/v12/n2/full/nmeth.3252.html},   }"
"BiocGenerics","0.48.1","To cite package ‘BiocGenerics’ in publications use:    Orchestrating high-throughput genomic analysis with Bioconductor. W. Huber, V.J. Carey, R.   Gentleman, ..., M. Morgan Nature Methods, 2015:12, 115.  A BibTeX entry for LaTeX users is    @Article{,     author = {{Huber} and {W.} and {Carey} and V. J. and {Gentleman} and {R.} and {Anders} and {S.} and {Carlson} and {M.} and {Carvalho} and B. S. and {Bravo} and H. C. and {Davis} and {S.} and {Gatto} and {L.} and {Girke} and {T.} and {Gottardo} and {R.} and {Hahne} and {F.} and {Hansen} and K. D. and {Irizarry} and R. A. and {Lawrence} and {M.} and {Love} and M. I. and {MacDonald} and {J.} and {Obenchain} and {V.} and {{Ole's}} and A. K. and {{Pag`es}} and {H.} and {Reyes} and {A.} and {Shannon} and {P.} and {Smyth} and G. K. and {Tenenbaum} and {D.} and {Waldron} and {L.} and {Morgan} and {M.}},     title = {{O}rchestrating high-throughput genomic analysis with {B}ioconductor},     journal = {Nature Methods},     year = {2015},     volume = {12},     number = {2},     pages = {115--121},     url = {http://www.nature.com/nmeth/journal/v12/n2/full/nmeth.3252.html},   }"
